country,date,case_age_00_19,case_age_20_39,case_age_40_59,case_age_60over,case_total
AUS,2020/2/1,0,0,0,0,0
AUS,2020/2/2,0,0,0,0,0
AUS,2020/2/3,0,0,0,0,0
AUS,2020/2/4,1,1,0,0,2
AUS,2020/2/5,0,0,0,0,0
AUS,2020/2/6,0,1,0,0,1
AUS,2020/2/7,0,0,0,0,0
AUS,2020/2/8,0,0,0,0,0
AUS,2020/2/9,0,0,0,0,0
AUS,2020/2/10,0,0,0,0,0
AUS,2020/2/11,0,0,0,0,0
AUS,2020/2/12,0,0,0,0,0
AUS,2020/2/13,0,0,0,0,0
AUS,2020/2/14,0,0,0,0,0
AUS,2020/2/15,0,0,0,0,0
AUS,2020/2/16,0,0,0,0,0
AUS,2020/2/17,0,0,0,0,0
AUS,2020/2/18,0,0,0,0,0
AUS,2020/2/19,0,0,0,0,0
AUS,2020/2/20,0,0,0,0,0
AUS,2020/2/21,0,0,0,0,0
AUS,2020/2/22,0,1,2,1,4
AUS,2020/2/23,0,0,0,0,0
AUS,2020/2/24,0,0,1,0,1
AUS,2020/2/25,0,0,0,1,1
AUS,2020/2/26,0,0,0,0,0
AUS,2020/2/27,0,0,0,0,0
AUS,2020/2/28,0,0,0,1,1
AUS,2020/2/29,0,0,0,1,1
AUS,2020/3/1,0,1,0,1,2
AUS,2020/3/2,0,2,0,0,2
AUS,2020/3/3,0,1,0,0,1
AUS,2020/3/4,0,1,0,1,2
AUS,2020/3/5,0,1,0,0,1
AUS,2020/3/6,0,1,0,1,2
AUS,2020/3/7,0,0,1,0,1
AUS,2020/3/8,0,0,2,1,3
AUS,2020/3/9,1,8,7,3,19
AUS,2020/3/10,0,2,7,3,12
AUS,2020/3/11,2,9,11,8,30
AUS,2020/3/12,0,17,12,5,34
AUS,2020/3/13,0,22,17,12,51
AUS,2020/3/14,3,17,12,10,42
AUS,2020/3/15,2,23,19,9,53
AUS,2020/3/16,2,29,26,14,71
AUS,2020/3/17,3,61,48,23,135
AUS,2020/3/18,0,39,39,18,96
AUS,2020/3/19,9,46,39,32,126
AUS,2020/3/20,8,84,56,43,191
AUS,2020/3/21,4,77,74,71,226
AUS,2020/3/22,8,73,81,90,252
AUS,2020/3/23,10,91,76,113,290
AUS,2020/3/24,8,126,94,93,321
AUS,2020/3/25,8,121,84,110,323
AUS,2020/3/26,8,124,94,78,304
AUS,2020/3/27,22,146,90,123,381
AUS,2020/3/28,13,104,81,70,268
AUS,2020/3/29,9,91,55,56,211
AUS,2020/3/30,9,97,54,46,206
AUS,2020/3/31,11,87,61,66,225
AUS,2020/4/1,13,93,57,57,220
AUS,2020/4/2,13,68,49,47,177
AUS,2020/4/3,13,67,27,49,156
AUS,2020/4/4,3,41,42,26,112
AUS,2020/4/5,7,31,27,33,98
AUS,2020/4/6,5,34,21,19,79
AUS,2020/4/7,4,27,22,27,80
AUS,2020/4/8,5,22,23,17,67
AUS,2020/4/9,1,25,11,24,61
AUS,2020/4/10,5,23,14,26,68
AUS,2020/4/11,0,13,5,11,29
AUS,2020/4/12,4,6,5,9,24
AUS,2020/4/13,1,5,2,12,20
AUS,2020/4/14,1,10,9,9,29
AUS,2020/4/15,2,7,7,19,35
AUS,2020/4/16,2,12,5,16,35
AUS,2020/4/17,0,8,13,11,32
AUS,2020/4/18,1,11,7,15,34
AUS,2020/4/19,1,1,2,4,8
AUS,2020/4/20,1,4,3,2,10
AUS,2020/4/21,0,0,4,3,7
AUS,2020/4/22,0,1,2,3,6
AUS,2020/4/23,2,3,4,4,13
AUS,2020/4/24,0,2,5,14,21
AUS,2020/4/25,0,3,3,2,8
AUS,2020/4/26,0,1,1,2,4
AUS,2020/4/27,2,1,4,2,9
AUS,2020/4/28,3,5,4,1,13
AUS,2020/4/29,0,5,1,4,10
AUS,2020/4/30,2,4,5,9,20
AUS,2020/5/1,0,6,1,8,15
AUS,2020/5/2,1,6,6,3,16
AUS,2020/5/3,3,11,7,3,24
AUS,2020/5/4,0,10,6,5,21
AUS,2020/5/5,2,12,4,4,22
AUS,2020/5/6,1,10,6,1,18
AUS,2020/5/7,4,4,4,4,16
AUS,2020/5/8,2,4,5,6,17
AUS,2020/5/9,0,2,4,4,10
AUS,2020/5/10,2,2,2,1,7
AUS,2020/5/11,1,6,10,6,23
AUS,2020/5/12,5,4,0,2,11
AUS,2020/5/13,3,7,1,1,12
AUS,2020/5/14,4,11,6,2,23
AUS,2020/5/15,5,3,6,1,15
AUS,2020/5/16,1,5,1,0,7
AUS,2020/5/17,1,2,6,3,12
AUS,2020/5/18,5,0,0,3,8
AUS,2020/5/19,0,5,3,1,9
AUS,2020/5/20,1,3,0,2,6
AUS,2020/5/21,1,3,6,1,11
AUS,2020/5/22,0,7,3,2,12
AUS,2020/5/23,0,2,1,0,3
AUS,2020/5/24,0,4,0,1,5
AUS,2020/5/25,0,1,3,2,6
AUS,2020/5/26,1,4,4,2,11
AUS,2020/5/27,6,5,4,0,15
AUS,2020/5/28,3,4,2,1,10
AUS,2020/5/29,2,7,0,0,9
AUS,2020/5/30,4,3,2,3,12
AUS,2020/5/31,3,4,0,0,7
AUS,2020/6/1,2,6,3,0,11
AUS,2020/6/2,1,6,3,0,10
AUS,2020/6/3,0,6,4,0,10
AUS,2020/6/4,1,2,1,2,6
AUS,2020/6/5,1,3,0,1,5
AUS,2020/6/6,3,4,0,0,7
AUS,2020/6/7,2,6,2,1,11
AUS,2020/6/8,0,6,0,0,6
AUS,2020/6/9,0,4,1,1,6
AUS,2020/6/10,5,9,1,0,15
AUS,2020/6/11,1,4,2,0,7
AUS,2020/6/12,8,4,3,0,15
AUS,2020/6/13,2,3,3,3,11
AUS,2020/6/14,5,7,2,0,14
AUS,2020/6/15,3,6,9,1,19
AUS,2020/6/16,3,15,5,1,24
AUS,2020/6/17,3,11,5,5,24
AUS,2020/6/18,2,7,9,0,18
AUS,2020/6/19,8,17,4,6,35
AUS,2020/6/20,4,12,3,1,20
AUS,2020/6/21,4,12,0,3,19
AUS,2020/6/22,5,15,8,0,28
AUS,2020/6/23,7,11,5,1,24
AUS,2020/6/24,6,18,12,3,39
AUS,2020/6/25,6,19,9,3,37
AUS,2020/6/26,14,20,14,4,52
AUS,2020/6/27,9,27,15,4,55
AUS,2020/6/28,15,38,19,10,82
AUS,2020/6/29,8,35,19,5,67
AUS,2020/6/30,18,33,26,12,89
AUS,2020/7/1,25,29,21,7,82
AUS,2020/7/2,15,37,11,6,69
AUS,2020/7/3,46,29,16,12,103
AUS,2020/7/4,20,30,24,9,83
AUS,2020/7/5,37,43,25,10,115
AUS,2020/7/6,48,75,36,19,178
AUS,2020/7/7,25,64,27,15,131
AUS,2020/7/8,30,80,32,15,157
AUS,2020/7/9,44,62,39,12,157
AUS,2020/7/10,65,119,98,27,309
AUS,2020/7/11,39,115,86,36,276
AUS,2020/7/12,24,87,47,24,182
AUS,2020/7/13,33,116,67,46,262
AUS,2020/7/14,24,118,62,30,234
AUS,2020/7/15,49,132,92,29,302
AUS,2020/7/16,85,135,111,66,397
AUS,2020/7/17,46,97,49,37,229
AUS,2020/7/18,57,141,93,56,347
AUS,2020/7/19,52,120,56,49,277
AUS,2020/7/20,55,146,76,86,363
AUS,2020/7/21,52,197,117,85,451
AUS,2020/7/22,70,171,86,69,396
AUS,2020/7/23,39,137,77,53,306
AUS,2020/7/24,52,161,82,52,347
AUS,2020/7/25,53,169,99,96,417
AUS,2020/7/26,67,171,111,157,506
AUS,2020/7/27,43,168,86,72,369
AUS,2020/7/28,52,105,85,48,290
AUS,2020/7/29,103,288,160,86,637
AUS,2020/7/30,81,239,131,107,558
AUS,2020/7/31,64,166,80,76,386
AUS,2020/8/1,93,267,115,137,612
AUS,2020/8/2,68,156,93,57,374
AUS,2020/8/3,67,167,75,110,419
AUS,2020/8/4,94,250,149,203,696
AUS,2020/8/5,50,184,104,120,458
AUS,2020/8/6,76,182,96,74,428
AUS,2020/8/7,94,163,97,107,461
AUS,2020/8/8,54,171,70,84,379
AUS,2020/8/9,58,151,67,38,314
AUS,2020/8/10,57,106,74,91,328
AUS,2020/8/11,82,158,89,73,402
AUS,2020/8/12,33,108,69,51,261
AUS,2020/8/13,69,158,68,72,367
AUS,2020/8/14,64,119,72,50,305
AUS,2020/8/15,36,82,66,86,270
AUS,2020/8/16,36,113,55,66,270
AUS,2020/8/17,38,95,51,40,224
AUS,2020/8/18,30,72,52,67,221
AUS,2020/8/19,31,80,55,82,248
AUS,2020/8/20,32,60,45,44,181
AUS,2020/8/21,39,60,44,44,187
AUS,2020/8/22,39,92,40,45,216
AUS,2020/8/23,21,45,32,24,122
AUS,2020/8/24,14,81,40,27,162
AUS,2020/8/25,29,58,33,33,153
AUS,2020/8/26,17,55,26,21,119
AUS,2020/8/27,14,47,30,29,120
AUS,2020/8/28,16,47,21,19,103
AUS,2020/8/29,30,43,29,14,116
AUS,2020/8/30,10,38,19,16,83
AUS,2020/8/31,14,29,13,14,70
AUS,2020/9/1,20,50,14,16,100
AUS,2020/9/2,17,42,27,34,120
AUS,2020/9/3,17,34,17,15,83
AUS,2020/9/4,15,39,18,7,79
AUS,2020/9/5,16,25,15,14,70
AUS,2020/9/6,7,21,14,6,48
AUS,2020/9/7,7,25,11,15,58
AUS,2020/9/8,16,30,16,17,79
AUS,2020/9/9,5,22,8,16,51
AUS,2020/9/10,10,19,9,9,47
AUS,2020/9/11,11,14,8,5,38
AUS,2020/9/12,15,11,9,11,46
AUS,2020/9/13,11,13,2,5,31
AUS,2020/9/14,7,16,9,13,45
AUS,2020/9/15,10,19,4,12,45
AUS,2020/9/16,8,9,3,7,27
AUS,2020/9/17,8,15,7,16,46
AUS,2020/9/18,3,18,3,2,26
AUS,2020/9/19,4,4,3,4,15
AUS,2020/9/20,5,7,2,2,16
AUS,2020/9/21,3,13,6,9,31
AUS,2020/9/22,2,11,3,1,17
AUS,2020/9/23,3,5,2,3,13
AUS,2020/9/24,4,9,9,2,24
AUS,2020/9/25,6,7,1,2,16
AUS,2020/9/26,15,8,5,4,32
AUS,2020/9/27,0,7,1,3,11
AUS,2020/9/28,0,6,6,1,13
AUS,2020/9/29,0,13,3,1,17
AUS,2020/9/30,4,7,6,2,19
AUS,2020/10/1,4,11,4,3,22
AUS,2020/10/2,4,3,8,6,21
AUS,2020/10/3,6,8,4,2,20
AUS,2020/10/4,5,2,4,0,11
AUS,2020/10/5,9,7,5,0,21
AUS,2020/10/6,2,4,4,1,11
AUS,2020/10/7,3,4,7,1,15
AUS,2020/10/8,4,9,5,2,20
AUS,2020/10/9,6,5,5,3,19
AUS,2020/10/10,5,5,6,4,20
AUS,2020/10/11,5,6,3,3,17
AUS,2020/10/12,4,7,5,1,17
AUS,2020/10/13,1,2,6,3,12
AUS,2020/10/14,3,2,3,2,10
AUS,2020/10/15,2,11,3,3,19
AUS,2020/10/16,0,6,0,0,6
AUS,2020/10/17,3,2,1,0,6
AUS,2020/10/18,4,2,2,2,10
AUS,2020/10/19,1,1,2,1,5
AUS,2020/10/20,2,5,1,0,8
AUS,2020/10/21,6,4,3,0,13
AUS,2020/10/22,1,3,1,0,5
AUS,2020/10/23,4,5,2,1,12
AUS,2020/10/24,5,4,1,0,10
AUS,2020/10/25,4,3,3,0,10
AUS,2020/10/26,1,2,1,1,5
AUS,2020/10/27,1,5,1,1,8
AUS,2020/10/28,1,3,4,1,9
AUS,2020/10/29,1,3,3,0,7
AUS,2020/10/30,0,0,3,0,3
AUS,2020/10/31,2,4,0,0,6
AUS,2020/11/1,0,2,1,0,3
AUS,2020/11/2,2,4,2,0,8
AUS,2020/11/3,1,4,4,1,10
AUS,2020/11/4,0,1,1,0,2
AUS,2020/11/5,1,2,1,0,4
AUS,2020/11/6,0,3,0,3,6
AUS,2020/11/7,0,3,4,0,7
AUS,2020/11/8,1,2,1,0,4
AUS,2020/11/9,1,2,5,2,10
AUS,2020/11/10,0,10,0,0,10
AUS,2020/11/11,2,3,2,2,9
AUS,2020/11/12,1,4,1,1,7
AUS,2020/11/13,0,2,2,0,4
AUS,2020/11/14,0,5,0,0,5
AUS,2020/11/15,3,4,0,1,8
AUS,2020/11/16,2,2,1,0,5
AUS,2020/11/17,0,6,2,0,8
AUS,2020/11/18,1,5,5,0,11
AUS,2020/11/19,0,2,3,1,6
AUS,2020/11/20,2,7,1,1,11
AUS,2020/11/21,0,5,0,0,5
AUS,2020/11/22,1,4,1,0,6
AUS,2020/11/23,0,5,0,0,5
AUS,2020/11/24,1,6,0,0,7
AUS,2020/11/25,0,1,1,2,4
AUS,2020/11/26,0,2,0,1,3
AUS,2020/11/27,0,4,5,0,9
AUS,2020/11/28,1,3,5,0,9
AUS,2020/11/29,0,1,1,1,3
AUS,2020/11/30,0,5,1,0,6
AUS,2020/12/1,0,3,1,1,5
AUS,2020/12/2,3,3,0,2,8
AUS,2020/12/3,0,3,1,1,5
AUS,2020/12/4,2,1,6,2,11
AUS,2020/12/5,2,3,11,12,28
AUS,2020/12/6,6,9,11,5,31
AUS,2020/12/7,5,12,10,10,37
AUS,2020/12/8,6,11,6,5,28
AUS,2020/12/9,2,4,5,5,16
AUS,2020/12/10,3,6,4,0,13
AUS,2020/12/11,4,12,7,4,27
AUS,2020/12/12,5,4,2,2,13
AUS,2020/12/13,1,6,3,3,13
AUS,2020/12/14,1,10,2,1,14
AUS,2020/12/15,3,6,2,0,11
AUS,2020/12/16,0,5,3,1,9
AUS,2020/12/17,10,12,10,2,34
AUS,2020/12/18,3,4,1,0,8
AUS,2020/12/19,2,7,3,2,14
AUS,2020/12/20,6,6,5,1,18
AUS,2020/12/21,5,2,4,0,11
AUS,2020/12/22,2,3,7,1,13
AUS,2020/12/23,2,1,3,1,7
AUS,2020/12/24,1,3,1,0,5
AUS,2020/12/25,7,5,1,0,13
AUS,2020/12/26,1,3,2,0,6
AUS,2020/12/27,6,10,2,0,18
AUS,2020/12/28,3,2,3,2,10
AUS,2020/12/29,1,7,7,0,15
AUS,2020/12/30,1,6,8,3,18
AUS,2020/12/31,1,5,2,4,12
AUS,2021/1/1,3,5,7,0,15
AUS,2021/1/2,1,2,3,0,6
AUS,2021/1/3,3,7,7,3,20
AUS,2021/1/4,7,5,5,5,22
AUS,2021/1/5,0,5,2,0,7
AUS,2021/1/6,0,2,1,0,3
AUS,2021/1/7,2,6,2,0,10
AUS,2021/1/8,3,2,2,1,8
AUS,2021/1/9,2,3,2,0,7
AUS,2021/1/10,1,3,4,1,9
AUS,2021/1/11,1,3,0,0,4
AUS,2021/1/12,2,3,3,0,8
AUS,2021/1/13,0,4,2,1,7
AUS,2021/1/14,0,2,5,1,8
AUS,2021/1/15,1,5,1,0,7
AUS,2021/1/16,4,3,5,0,12
AUS,2021/1/17,2,3,0,0,5
AUS,2021/1/18,2,7,1,0,10
AUS,2021/1/19,0,1,3,1,5
AUS,2021/1/20,1,2,1,0,4
AUS,2021/1/21,0,5,2,0,7
AUS,2021/1/22,1,3,2,0,6
AUS,2021/1/23,2,2,1,0,5
AUS,2021/1/24,3,5,3,1,12
AUS,2021/1/25,0,0,2,0,2
AUS,2021/1/26,1,3,0,1,5
AUS,2021/1/27,1,0,4,0,5
AUS,2021/1/28,0,1,2,1,4
AUS,2021/1/29,0,2,0,0,2
AUS,2021/1/30,0,0,2,0,2
AUS,2021/1/31,0,0,4,0,4
AUS,2021/2/1,0,2,0,0,2
AUS,2021/2/2,0,1,2,0,3
AUS,2021/2/3,1,3,1,1,6
AUS,2021/2/4,1,2,2,0,5
AUS,2021/2/5,1,3,1,0,5
AUS,2021/2/6,1,3,1,0,5
AUS,2021/2/7,0,2,4,0,6
AUS,2021/2/8,0,2,3,0,5
AUS,2021/2/9,1,3,1,1,6
AUS,2021/2/10,0,5,1,0,6
AUS,2021/2/11,2,8,1,1,12
AUS,2021/2/12,0,2,1,0,3
AUS,2021/2/13,1,4,3,1,9
AUS,2021/2/14,1,2,2,0,5
AUS,2021/2/15,5,4,3,1,13
AUS,2021/2/16,1,1,1,0,3
AUS,2021/2/17,0,1,2,0,3
AUS,2021/2/18,1,3,0,0,4
AUS,2021/2/19,0,3,1,1,5
AUS,2021/2/20,1,2,3,0,6
AUS,2021/2/21,1,4,3,1,9
AUS,2021/2/22,2,1,1,0,4
AUS,2021/2/23,1,3,1,0,5
AUS,2021/2/24,0,2,1,0,3
AUS,2021/2/25,2,8,2,1,13
AUS,2021/2/26,0,6,1,1,8
AUS,2021/2/27,0,0,0,1,1
AUS,2021/2/28,1,2,1,0,4
AUS,2021/3/1,2,5,2,1,10
AUS,2021/3/2,2,1,1,0,4
AUS,2021/3/3,0,1,2,1,4
AUS,2021/3/4,3,5,3,1,12
AUS,2021/3/5,0,5,0,0,5
AUS,2021/3/6,0,3,1,0,4
AUS,2021/3/7,1,5,2,1,9
AUS,2021/3/8,0,6,0,0,6
AUS,2021/3/9,0,3,2,3,8
AUS,2021/3/10,0,4,2,3,9
AUS,2021/3/11,0,2,2,0,4
AUS,2021/3/12,1,1,3,1,6
AUS,2021/3/13,0,1,0,1,2
AUS,2021/3/14,1,8,0,0,9
AUS,2021/3/15,2,5,1,3,11
AUS,2021/3/16,0,8,2,2,12
AUS,2021/3/17,1,2,3,3,9
AUS,2021/3/18,3,4,2,3,12
AUS,2021/3/19,1,2,2,2,7
AUS,2021/3/20,0,3,4,2,9
AUS,2021/3/21,1,5,3,1,10
AUS,2021/3/22,0,4,2,2,8
AUS,2021/3/23,0,4,3,1,8
AUS,2021/3/24,2,5,4,1,12
AUS,2021/3/25,1,2,2,3,8
AUS,2021/3/26,2,10,3,0,15
AUS,2021/3/27,1,5,2,2,10
AUS,2021/3/28,0,11,3,2,16
AUS,2021/3/29,2,7,3,1,13
AUS,2021/3/30,0,6,2,0,8
AUS,2021/3/31,4,13,5,0,22
HKG,2020/2/1,0,0,0,2,2
HKG,2020/2/2,0,0,0,0,0
HKG,2020/2/3,0,0,0,0,0
HKG,2020/2/4,0,1,0,2,3
HKG,2020/2/5,0,1,2,0,3
HKG,2020/2/6,0,0,1,2,3
HKG,2020/2/7,0,0,2,0,2
HKG,2020/2/8,0,0,0,0,0
HKG,2020/2/9,0,4,3,3,10
HKG,2020/2/10,0,0,2,4,6
HKG,2020/2/11,0,2,1,4,7
HKG,2020/2/12,0,0,1,0,1
HKG,2020/2/13,0,1,1,1,3
HKG,2020/2/14,0,0,1,2,3
HKG,2020/2/15,0,0,0,0,0
HKG,2020/2/16,0,0,1,0,1
HKG,2020/2/17,0,0,2,1,3
HKG,2020/2/18,0,1,1,0,2
HKG,2020/2/19,0,0,0,3,3
HKG,2020/2/20,0,1,2,1,4
HKG,2020/2/21,0,0,0,0,0
HKG,2020/2/22,0,0,0,1,1
HKG,2020/2/23,0,0,0,4,4
HKG,2020/2/24,0,1,5,1,7
HKG,2020/2/25,0,2,1,1,4
HKG,2020/2/26,1,3,1,1,6
HKG,2020/2/27,0,0,0,2,2
HKG,2020/2/28,0,0,0,1,1
HKG,2020/2/29,0,0,1,0,1
HKG,2020/3/1,0,0,1,4,5
HKG,2020/3/2,0,0,0,1,1
HKG,2020/3/3,0,0,0,0,0
HKG,2020/3/4,0,0,2,2,4
HKG,2020/3/5,0,0,0,0,0
HKG,2020/3/6,0,0,1,2,3
HKG,2020/3/7,0,1,0,1,2
HKG,2020/3/8,0,0,4,1,5
HKG,2020/3/9,0,0,1,0,1
HKG,2020/3/10,0,0,5,0,5
HKG,2020/3/11,0,4,3,2,9
HKG,2020/3/12,0,2,0,0,2
HKG,2020/3/13,1,1,1,3,6
HKG,2020/3/14,0,2,2,0,4
HKG,2020/3/15,0,5,1,1,7
HKG,2020/3/16,0,3,5,1,9
HKG,2020/3/17,1,7,1,1,10
HKG,2020/3/18,2,15,5,3,25
HKG,2020/3/19,2,8,6,0,16
HKG,2020/3/20,7,24,11,6,48
HKG,2020/3/21,3,6,5,3,17
HKG,2020/3/22,7,28,6,3,44
HKG,2020/3/23,4,18,13,4,39
HKG,2020/3/24,1,15,11,3,30
HKG,2020/3/25,4,12,8,0,24
HKG,2020/3/26,6,23,10,4,43
HKG,2020/3/27,12,29,18,6,65
HKG,2020/3/28,17,31,9,7,64
HKG,2020/3/29,10,30,12,7,59
HKG,2020/3/30,13,22,5,1,41
HKG,2020/3/31,7,12,5,8,32
HKG,2020/4/1,9,26,13,3,51
HKG,2020/4/2,11,15,7,4,37
HKG,2020/4/3,7,20,14,2,43
HKG,2020/4/4,3,10,2,2,17
HKG,2020/4/5,6,13,4,5,28
HKG,2020/4/6,4,7,9,4,24
HKG,2020/4/7,3,10,7,1,21
HKG,2020/4/8,2,15,5,3,25
HKG,2020/4/9,0,8,2,3,13
HKG,2020/4/10,3,9,3,1,16
HKG,2020/4/11,1,8,2,0,11
HKG,2020/4/12,0,2,1,1,4
HKG,2020/4/13,1,0,1,3,5
HKG,2020/4/14,1,1,1,0,3
HKG,2020/4/15,0,2,1,1,4
HKG,2020/4/16,1,0,0,0,1
HKG,2020/4/17,1,2,1,0,4
HKG,2020/4/18,1,1,0,0,2
HKG,2020/4/19,0,1,1,0,2
HKG,2020/4/20,0,0,0,0,0
HKG,2020/4/21,1,3,0,0,4
HKG,2020/4/22,1,1,1,1,4
HKG,2020/4/23,0,1,1,0,2
HKG,2020/4/24,0,0,0,0,0
HKG,2020/4/25,1,0,0,1,2
HKG,2020/4/26,0,0,0,0,0
HKG,2020/4/27,0,0,0,0,0
HKG,2020/4/28,0,0,0,0,0
HKG,2020/4/29,0,0,0,0,0
HKG,2020/4/30,0,0,0,0,0
HKG,2020/5/1,1,1,0,0,2
HKG,2020/5/2,0,0,0,0,0
HKG,2020/5/3,0,0,0,0,0
HKG,2020/5/4,0,1,0,0,1
HKG,2020/5/5,0,0,0,0,0
HKG,2020/5/6,0,0,0,0,0
HKG,2020/5/7,1,1,2,0,4
HKG,2020/5/8,0,0,0,0,0
HKG,2020/5/9,0,0,0,0,0
HKG,2020/5/10,0,0,2,1,3
HKG,2020/5/11,0,0,0,0,0
HKG,2020/5/12,0,0,0,0,0
HKG,2020/5/13,1,1,0,1,3
HKG,2020/5/14,0,0,0,1,1
HKG,2020/5/15,0,0,1,0,1
HKG,2020/5/16,0,0,0,0,0
HKG,2020/5/17,1,1,0,1,3
HKG,2020/5/18,0,0,0,0,0
HKG,2020/5/19,0,0,0,0,0
HKG,2020/5/20,0,0,0,0,0
HKG,2020/5/21,2,4,1,1,8
HKG,2020/5/22,1,0,0,1,2
HKG,2020/5/23,0,0,0,0,0
HKG,2020/5/24,0,0,0,0,0
HKG,2020/5/25,0,0,0,0,0
HKG,2020/5/26,0,0,0,0,0
HKG,2020/5/27,0,1,0,0,1
HKG,2020/5/28,0,0,0,0,0
HKG,2020/5/29,4,8,1,0,13
HKG,2020/5/30,2,1,0,0,3
HKG,2020/5/31,0,1,1,0,2
HKG,2020/6/1,0,2,1,0,3
HKG,2020/6/2,1,0,3,2,6
HKG,2020/6/3,0,0,0,0,0
HKG,2020/6/4,1,2,2,1,6
HKG,2020/6/5,1,0,1,1,3
HKG,2020/6/6,1,1,1,0,3
HKG,2020/6/7,0,1,0,0,1
HKG,2020/6/8,0,1,0,0,1
HKG,2020/6/9,0,0,0,0,0
HKG,2020/6/10,0,0,0,0,0
HKG,2020/6/11,0,0,0,0,0
HKG,2020/6/12,0,0,1,0,1
HKG,2020/6/13,0,1,0,0,1
HKG,2020/6/14,0,0,0,0,0
HKG,2020/6/15,1,1,1,0,3
HKG,2020/6/16,0,0,0,0,0
HKG,2020/6/17,3,3,1,1,8
HKG,2020/6/18,3,1,0,0,4
HKG,2020/6/19,2,0,1,0,3
HKG,2020/6/20,0,0,1,0,1
HKG,2020/6/21,0,3,0,0,3
HKG,2020/6/22,10,14,4,2,30
HKG,2020/6/23,5,9,2,0,16
HKG,2020/6/24,0,0,2,0,2
HKG,2020/6/25,9,5,0,0,14
HKG,2020/6/26,2,1,0,0,3
HKG,2020/6/27,0,1,0,0,1
HKG,2020/6/28,1,1,0,0,2
HKG,2020/6/29,0,3,1,0,4
HKG,2020/6/30,1,0,1,0,2
HKG,2020/7/1,9,18,1,0,28
HKG,2020/7/2,3,5,1,0,9
HKG,2020/7/3,2,2,1,0,5
HKG,2020/7/4,0,7,3,1,11
HKG,2020/7/5,2,0,8,0,10
HKG,2020/7/6,4,9,3,1,17
HKG,2020/7/7,1,4,6,3,14
HKG,2020/7/8,0,3,11,10,24
HKG,2020/7/9,2,2,10,28,42
HKG,2020/7/10,9,10,11,8,38
HKG,2020/7/11,3,10,9,6,28
HKG,2020/7/12,4,6,13,15,38
HKG,2020/7/13,6,11,23,12,52
HKG,2020/7/14,2,12,12,22,48
HKG,2020/7/15,2,5,8,4,19
HKG,2020/7/16,3,16,26,22,67
HKG,2020/7/17,3,12,25,18,58
HKG,2020/7/18,2,11,27,24,64
HKG,2020/7/19,5,32,35,35,107
HKG,2020/7/20,6,14,30,23,73
HKG,2020/7/21,7,14,23,17,61
HKG,2020/7/22,5,26,43,39,113
HKG,2020/7/23,11,35,42,30,118
HKG,2020/7/24,12,21,48,42,123
HKG,2020/7/25,5,30,48,50,133
HKG,2020/7/26,16,40,45,27,128
HKG,2020/7/27,15,36,50,44,145
HKG,2020/7/28,9,30,31,36,106
HKG,2020/7/29,6,27,33,51,117
HKG,2020/7/30,15,48,51,35,149
HKG,2020/7/31,11,37,36,37,121
HKG,2020/8/1,16,42,34,33,125
HKG,2020/8/2,8,27,33,45,113
HKG,2020/8/3,5,32,26,17,80
HKG,2020/8/4,9,28,19,24,80
HKG,2020/8/5,7,21,26,31,85
HKG,2020/8/6,9,31,35,20,95
HKG,2020/8/7,10,32,28,19,89
HKG,2020/8/8,7,19,26,17,69
HKG,2020/8/9,1,34,18,19,72
HKG,2020/8/10,11,18,23,17,69
HKG,2020/8/11,3,12,8,10,33
HKG,2020/8/12,5,12,22,23,62
HKG,2020/8/13,0,20,27,22,69
HKG,2020/8/14,9,13,16,10,48
HKG,2020/8/15,2,18,13,13,46
HKG,2020/8/16,5,16,30,23,74
HKG,2020/8/17,6,17,12,9,44
HKG,2020/8/18,6,15,8,7,36
HKG,2020/8/19,2,10,8,6,26
HKG,2020/8/20,1,6,7,4,18
HKG,2020/8/21,6,8,6,7,27
HKG,2020/8/22,4,6,8,8,26
HKG,2020/8/23,6,6,5,8,25
HKG,2020/8/24,0,5,4,0,9
HKG,2020/8/25,1,5,8,5,19
HKG,2020/8/26,4,6,7,7,24
HKG,2020/8/27,3,7,9,2,21
HKG,2020/8/28,1,2,7,3,13
HKG,2020/8/29,2,3,7,6,18
HKG,2020/8/30,0,6,8,1,15
HKG,2020/8/31,1,3,3,2,9
HKG,2020/9/1,1,1,6,4,12
HKG,2020/9/2,0,2,2,4,8
HKG,2020/9/3,1,1,2,4,8
HKG,2020/9/4,2,3,3,4,12
HKG,2020/9/5,0,1,1,5,7
HKG,2020/9/6,0,9,5,7,21
HKG,2020/9/7,0,3,4,4,11
HKG,2020/9/8,0,3,2,1,6
HKG,2020/9/9,1,1,1,3,6
HKG,2020/9/10,1,7,4,0,12
HKG,2020/9/11,1,5,3,3,12
HKG,2020/9/12,0,7,3,3,13
HKG,2020/9/13,3,5,6,5,19
HKG,2020/9/14,1,3,6,4,14
HKG,2020/9/15,0,3,1,0,4
HKG,2020/9/16,2,4,2,1,9
HKG,2020/9/17,1,2,5,1,9
HKG,2020/9/18,0,1,2,0,3
HKG,2020/9/19,2,8,1,2,13
HKG,2020/9/20,6,5,8,4,23
HKG,2020/9/21,0,2,3,1,6
HKG,2020/9/22,3,4,1,0,8
HKG,2020/9/23,1,0,1,1,3
HKG,2020/9/24,0,2,5,0,7
HKG,2020/9/25,0,0,2,0,2
HKG,2020/9/26,0,0,1,0,1
